,Summary,ROUGE-1,ROUGE-2,ROUGE-L
0,1,0.470766129032258,0.260343087790111,0.27923387096774194
1,2,0.6940874035989717,0.5240137221269298,0.4592973436161097
2,3,0.6954314720812182,0.5029635901778154,0.43993231810490696
3,4,0.6782830429239269,0.4627817949808592,0.41733956651083726
4,5,0.6678067550235144,0.44843816859221225,0.40701154339461304
5,6,0.7034713508992053,0.4930933444956049,0.4332915098285236
6,7,0.6783425886373344,0.48653270628473705,0.4348568987612132
7,8,0.6781263429308122,0.4851612903225806,0.44520842286205414
8,9,0.567095588235294,0.32842686292548295,0.33088235294117646
9,10,0.6839642705231816,0.4844614729672201,0.45172267120374304
10,11,0.5360339142722562,0.2923149457802923,0.3005181347150259
11,12,0.6131830008673027,0.3506944444444444,0.3417172593235039
12,13,0.6203301476976543,0.36347826086956525,0.3509991311902694
13,14,0.5454545454545454,0.29062209842154135,0.30055658627087195
14,15,0.6194062915374391,0.40266075388026606,0.3748338502436863
15,16,0.68068669527897,0.48281786941580757,0.4231759656652361
16,17,0.5358669833729217,0.2995720399429387,0.3040380047505938
17,18,0.6332613390928726,0.40207522697795073,0.3853131749460043
18,19,0.6672347677886664,0.4400852878464819,0.40391989774179804
19,20,0.6678126342930811,0.4627956989247312,0.4099699183498066
20,21,0.6839154808106943,0.5032369443245577,0.438119879258301
21,22,0.6157894736842106,0.373134328358209,0.35350877192982455
22,23,0.6465408805031446,0.37851447754930756,0.3454926624737945
23,24,0.6589047003018543,0.4557617608977126,0.4070720137990513
24,25,0.6262975778546713,0.3878787878787879,0.37629757785467133
25,26,0.6093003042155586,0.33927794693344937,0.327683615819209
26,27,0.6566290255123379,0.4177480117203851,0.3872856545378503
27,28,0.6334919948074427,0.3923776526634907,0.3877109476417135
28,29,0.6432501057977148,0.39390088945362134,0.37325433770630556
29,30,0.49242794333170503,0.25721271393643036,0.2765021983390327
30,31,0.5112709832134293,0.2630820931349016,0.2733812949640288
31,32,0.6017699115044248,0.35961027457927375,0.3566371681415929
32,33,0.6961753330468414,0.5118279569892473,0.4520842286205415
33,34,0.5864060417592181,0.3272565584704313,0.32696579298089734
34,35,0.48344043499752837,0.25828797624938155,0.27582797825012356
35,36,0.5790184601530842,0.3280757097791798,0.3304817649707339
36,37,0.5945945945945946,0.3308203991130821,0.33052724856003546
37,38,0.48007968127490047,0.259222333000997,0.2798804780876494
38,39,0.5942604856512141,0.3367211665930181,0.3275938189845474
39,40,0.6451612903225806,0.4328097731239092,0.4062772449869224
